timestamp_utc,open,high,low,close
2025-10-20 11:15:00+00:00,1.16534,1.16543,1.165074,1.165225
2025-10-20 11:30:00+00:00,1.165225,1.165244,1.164455,1.16465
2025-10-20 11:45:00+00:00,1.16465,1.16566,1.16459,1.16566
2025-10-20 12:00:00+00:00,1.16566,1.16584,1.16544,1.16584
2025-10-20 12:15:00+00:00,1.16584,1.16604,1.16546,1.16547
2025-10-20 12:30:00+00:00,1.16547,1.16574,1.165235,1.165525
2025-10-20 12:45:00+00:00,1.165525,1.16577,1.16503,1.16535
2025-10-20 13:00:00+00:00,1.16535,1.16546,1.16485,1.16508
2025-10-20 13:15:00+00:00,1.16508,1.16527,1.164669,1.16526
2025-10-20 13:30:00+00:00,1.16526,1.16534,1.164634,1.16503
2025-10-20 13:45:00+00:00,1.16503,1.16515,1.16465,1.16491
2025-10-20 14:00:00+00:00,1.16491,1.165505,1.164755,1.165449
2025-10-20 14:15:00+00:00,1.165449,1.16598,1.16542,1.1659
2025-10-20 14:30:00+00:00,1.1659,1.166435,1.165789,1.166089
2025-10-20 14:45:00+00:00,1.166089,1.16624,1.16533,1.165379
2025-10-20 15:00:00+00:00,1.165379,1.165715,1.165265,1.165675
2025-10-20 15:15:00+00:00,1.165675,1.16645,1.16566,1.1663
2025-10-20 15:30:00+00:00,1.1663,1.166315,1.1658,1.1658
2025-10-20 15:45:00+00:00,1.1658,1.16607,1.16546,1.1655
2025-10-20 16:00:00+00:00,1.1655,1.165815,1.165395,1.16552
2025-10-20 16:15:00+00:00,1.16552,1.165775,1.165155,1.165195
2025-10-20 16:30:00+00:00,1.165195,1.165465,1.165074,1.16513
2025-10-20 16:45:00+00:00,1.16513,1.16534,1.164939,1.16499
2025-10-20 17:00:00+00:00,1.16499,1.1653,1.164869,1.16508
2025-10-20 17:15:00+00:00,1.16508,1.165109,1.164775,1.16492
2025-10-20 17:30:00+00:00,1.16492,1.16495,1.16415,1.164315
2025-10-20 17:45:00+00:00,1.164315,1.16448,1.16422,1.164345
2025-10-20 18:00:00+00:00,1.164345,1.164394,1.164024,1.16417
2025-10-20 18:15:00+00:00,1.16417,1.16425,1.16385,1.16425
2025-10-20 18:30:00+00:00,1.16425,1.164669,1.16418,1.16438
2025-10-20 18:45:00+00:00,1.16438,1.16485,1.16434,1.16463
2025-10-20 19:00:00+00:00,1.16463,1.16493,1.16455,1.16473
2025-10-20 19:15:00+00:00,1.16473,1.16474,1.16454,1.16464
2025-10-20 19:30:00+00:00,1.16464,1.16466,1.164275,1.16439
2025-10-20 19:45:00+00:00,1.16439,1.16442,1.163989,1.16408
2025-10-20 20:00:00+00:00,1.16408,1.16446,1.16404,1.164075
2025-10-20 20:15:00+00:00,1.164075,1.16442,1.16403,1.164335
2025-10-20 20:30:00+00:00,1.164335,1.16444,1.164229,1.164359
2025-10-20 20:45:00+00:00,1.164359,1.164405,1.16411,1.1642
2025-10-20 21:00:00+00:00,1.1642,1.164385,1.16419,1.16437
2025-10-20 21:15:00+00:00,1.16437,1.16451,1.164359,1.16442
2025-10-20 21:30:00+00:00,1.16442,1.16452,1.16439,1.164464
2025-10-20 21:45:00+00:00,1.164464,1.164529,1.164455,1.164499
2025-10-20 22:00:00+00:00,1.164499,1.164545,1.164405,1.164425
2025-10-20 22:15:00+00:00,1.164425,1.16454,1.16434,1.164375
2025-10-20 22:30:00+00:00,1.164375,1.164455,1.16428,1.16432
2025-10-20 22:45:00+00:00,1.16432,1.16447,1.16429,1.16432
2025-10-20 23:00:00+00:00,1.16432,1.164475,1.164245,1.164329
2025-10-20 23:15:00+00:00,1.164329,1.164534,1.164259,1.16439
2025-10-20 23:30:00+00:00,1.16439,1.16442,1.1643,1.164329
2025-10-20 23:45:00+00:00,1.164329,1.16449,1.1643,1.16442
2025-10-21 00:00:00+00:00,1.16442,1.16523,1.164315,1.16517
2025-10-21 00:15:00+00:00,1.16517,1.165265,1.164885,1.16505
2025-10-21 00:30:00+00:00,1.16505,1.165455,1.16505,1.165444
2025-10-21 00:45:00+00:00,1.165444,1.16553,1.165185,1.16532
2025-10-21 01:00:00+00:00,1.16532,1.16532,1.164985,1.16506
2025-10-21 01:15:00+00:00,1.16506,1.1652,1.164685,1.164695
2025-10-21 01:30:00+00:00,1.164695,1.16485,1.16421,1.16439
2025-10-21 01:45:00+00:00,1.16439,1.164745,1.164285,1.16452
2025-10-21 02:00:00+00:00,1.16452,1.164525,1.163919,1.164429
2025-10-21 02:15:00+00:00,1.164429,1.16448,1.16411,1.16431
2025-10-21 02:30:00+00:00,1.16431,1.164364,1.163565,1.163625
2025-10-21 02:45:00+00:00,1.163625,1.163665,1.163285,1.16341
2025-10-21 03:00:00+00:00,1.16341,1.163549,1.16329,1.16354
2025-10-21 03:15:00+00:00,1.16354,1.163605,1.16337,1.16354
2025-10-21 03:30:00+00:00,1.16354,1.1636,1.163379,1.1635
2025-10-21 03:45:00+00:00,1.1635,1.163549,1.1633,1.16347
2025-10-21 04:00:00+00:00,1.16347,1.16349,1.163205,1.16344
2025-10-21 04:15:00+00:00,1.16344,1.16351,1.163325,1.163379
2025-10-21 04:30:00+00:00,1.163379,1.16353,1.163195,1.163425
2025-10-21 04:45:00+00:00,1.163425,1.163675,1.163244,1.163595
2025-10-21 05:00:00+00:00,1.163595,1.163775,1.163244,1.163545
2025-10-21 05:15:00+00:00,1.163545,1.16356,1.162955,1.163035
2025-10-21 05:30:00+00:00,1.163035,1.163195,1.16271,1.16276
2025-10-21 05:45:00+00:00,1.16276,1.162925,1.16244,1.162525
2025-10-21 06:00:00+00:00,1.162525,1.162625,1.16187,1.16227
2025-10-21 06:15:00+00:00,1.16227,1.16264,1.162135,1.162569
2025-10-21 06:30:00+00:00,1.162569,1.162985,1.16241,1.16283
2025-10-21 06:45:00+00:00,1.16283,1.16342,1.16283,1.1632
2025-10-21 07:00:00+00:00,1.1632,1.16356,1.16241,1.16246
2025-10-21 07:15:00+00:00,1.16246,1.16325,1.162159,1.16306
2025-10-21 07:30:00+00:00,1.16306,1.163155,1.16244,1.162955
2025-10-21 07:45:00+00:00,1.162955,1.16317,1.162515,1.16255
2025-10-21 08:00:00+00:00,1.16255,1.162685,1.162035,1.16228
2025-10-21 08:15:00+00:00,1.16228,1.16271,1.16199,1.162535
2025-10-21 08:30:00+00:00,1.162534,1.16276,1.161995,1.162255
2025-10-21 08:45:00+00:00,1.162255,1.162275,1.161275,1.16213
2025-10-21 09:00:00+00:00,1.16213,1.162205,1.161595,1.16199
2025-10-21 09:15:00+00:00,1.16199,1.16234,1.161845,1.16223
2025-10-21 09:30:00+00:00,1.162229,1.16272,1.162085,1.16241
2025-10-21 09:45:00+00:00,1.16241,1.162465,1.161935,1.16207
2025-10-21 10:00:00+00:00,1.16207,1.162345,1.161235,1.16136
2025-10-21 10:15:00+00:00,1.16136,1.161515,1.160655,1.1615
2025-10-21 10:30:00+00:00,1.1615,1.16156,1.16079,1.16092
2025-10-21 10:45:00+00:00,1.16092,1.161855,1.16077,1.1618
2025-10-21 11:00:00+00:00,1.1618,1.16253,1.161695,1.16239
